Layer,Fwd_time(msec),bwd_time(msec),wt_grad_time(msec),comms_time_fwd,comms_time_inp_grad,comms_time_wtgrad,Total_comms_time(without overlap),Total comms_time_with_overlap(wtgrad),Total comms_time_with_overlap(INPGRAD),total_compute_time_without_comms,msg_size,scaleout time (ms)
1.0,0.02601,0.02601,0.02601,0.0,0.0,0.019836290058071613,0.019836290058071613,0.6299688235545301,0.0,0.07802999999999999,18944.0,0.04691892857142857
6.0,0.015246306666666667,0.015246306666666667,0.015246306666666667,0.0,0.0,0.019962131183098777,0.019962131183098777,0.6101325334964585,0.0,0.04573892,33280.0,0.047008928571428577
9.0,0.01362234,0.01362234,0.01362234,0.0,0.0,0.019742980127893127,0.019742980127893127,0.6101325334964585,0.0,0.040867020000000004,8314.88,0.046852200000000004
13.0,0.02552,0.02552,0.02552,0.0,0.0,0.02031825384230302,0.02031825384230302,0.605635860035232,0.0,0.07656,73850.88,0.04726362857142857
17.0,0.015246306666666667,0.015246306666666667,0.015246306666666667,0.0,0.0,0.019962131183098777,0.019962131183098777,0.5989399461929289,0.0,0.04573892,33280.0,0.047008928571428577
22.0,0.013155573333333333,0.013155573333333333,0.013155573333333333,0.0,0.0,0.01995870777079684,0.01995870777079684,0.5989399461929289,0.0,0.03946672,32890.88,0.047006485714285715
26.0,0.02552,0.02552,0.02552,0.0,0.0,0.02031825384230302,0.02031825384230302,0.5942275450887987,0.0,0.07656,73850.88,0.04726362857142857
30.0,0.015246306666666667,0.015246306666666667,0.015246306666666667,0.0,0.0,0.019962131183098777,0.019962131183098777,0.587064864579829,0.0,0.04573892,33280.0,0.047008928571428577
35.0,0.013155573333333333,0.013155573333333333,0.013155573333333333,0.0,0.0,0.01995870777079684,0.01995870777079684,0.587064864579829,0.0,0.03946672,32890.88,0.047006485714285715
39.0,0.02552,0.02552,0.02552,0.0,0.0,0.02031825384230302,0.02031825384230302,0.5823524634756988,0.0,0.07656,73850.88,0.04726362857142857
43.0,0.015246306666666667,0.015246306666666667,0.015246306666666667,0.0,0.0,0.019962131183098777,0.019962131183098777,0.5751897829667291,0.0,0.04573892,33280.0,0.047008928571428577
48.0,0.022906666666666665,0.022906666666666665,0.022906666666666665,0.0,0.0,0.021980083509427224,0.021980083509427224,0.5751897829667291,0.0,0.06872,263168.0,0.04845214285714286
51.0,0.02339282666666667,0.02339282666666667,0.02339282666666667,0.0,0.0,0.02024752087735681,0.02024752087735681,0.5684560061239685,0.0,0.07017848,65792.0,0.047213035714285714
55.0,0.02552,0.02552,0.02552,0.0,0.0,0.02226097887779143,0.02226097887779143,0.5684560061239685,0.0,0.07656,295168.0,0.04865303571428571
59.0,0.012453333333333334,0.012453333333333334,0.012453333333333334,0.0,0.0,0.02082953608060744,0.02082953608060744,0.5684560061239685,0.0,0.037360000000000004,132096.0,0.047629285714285714
64.0,0.012453333333333334,0.012453333333333334,0.012453333333333334,0.0,0.0,0.0208227945917667,0.0208227945917667,0.5684560061239685,0.0,0.037360000000000004,131328.0,0.04762446428571429
68.0,0.02552,0.02552,0.02552,0.0,0.0,0.02226097887779143,0.02226097887779143,0.5600865448655351,0.0,0.07656,295168.0,0.04865303571428571
72.0,0.012453333333333334,0.012453333333333334,0.012453333333333334,0.0,0.0,0.02082953608060744,0.02082953608060744,0.550278899321077,0.0,0.037360000000000004,132096.0,0.047629285714285714
