,START (ms),FINISH (ms),TRANSITION,RESOURCE,RESOURCE_IDX,DURATION (ms),Task Type,Task Sub Type,Message Size (bytes)
45,442.55267866666657,442.55267866666657,bwd_00030_encoder_ffn2_res0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
46,442.55267866666657,445.01227866666653,bwd_00029_encoder_ffn2_dropout0__INP,GPU_0/GPU_0_COMP_0,0,2.459599999999977,COMP,INP,NA
47,445.01227866666653,445.01227866666653,bwd_00029_encoder_ffn2_dropout0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
48,445.01227866666653,483.3844119999999,bwd_00028_encoder_ffn2_0__INP,GPU_0/GPU_0_COMP_0,0,38.37213333333336,COMP,INP,NA
49,483.3844119999999,521.7565453333332,bwd_00028_encoder_ffn2_0__WT,GPU_0/GPU_0_COMP_0,0,38.3721333333333,COMP,WT,NA
50,521.7565453333332,521.7565453333332,bwd_00027_encoder_gelu_0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
51,521.7565453333332,521.7565453333332,bwd_00027_encoder_gelu_0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
52,521.7565453333332,532.3923919999999,bwd_00026_encoder_ffn1_0__INP,GPU_0/GPU_0_COMP_0,0,10.635846666666678,COMP,INP,NA
53,532.3923919999999,543.0282386666665,bwd_00026_encoder_ffn1_0__WT,GPU_0/GPU_0_COMP_0,0,10.635846666666678,COMP,WT,NA
54,543.0282386666665,543.0282386666665,@addjoin_bwd_00025_encoder_att_out_layernorm0-encoder_att_out_layernorm0_grad__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
55,543.0282386666665,543.0282386666665,@addjoin_bwd_00025_encoder_att_out_layernorm0-encoder_att_out_layernorm0_grad__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
56,543.0282386666665,546.5388613333332,bwd_00025_encoder_att_out_layernorm0__INP,GPU_0/GPU_0_COMP_0,0,3.5106226666666336,COMP,INP,NA
57,546.5388613333332,546.5388613333332,bwd_00025_encoder_att_out_layernorm0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
58,546.5388613333332,550.0494839999998,bwd_00024_encoder_att_out_res0__INP,GPU_0/GPU_0_COMP_0,0,3.5106226666666336,COMP,INP,NA
59,550.0494839999998,550.0494839999998,bwd_00024_encoder_att_out_res0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
60,550.0494839999998,552.5090839999998,bwd_00023_encoder_att_out_dropout0__INP,GPU_0/GPU_0_COMP_0,0,2.459599999999977,COMP,INP,NA
61,552.5090839999998,552.5090839999998,bwd_00023_encoder_att_out_dropout0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
62,552.5090839999998,556.5740173333331,bwd_00022_encoder_att_out_project0__INP,GPU_0/GPU_0_COMP_0,0,4.064933333333349,COMP,INP,NA
63,556.5740173333331,560.6389506666665,bwd_00022_encoder_att_out_project0__WT,GPU_0/GPU_0_COMP_0,0,4.064933333333349,COMP,WT,NA
64,560.6389506666665,562.9207733333332,bwd_00021_encoder_qkv_mul_reshape0__INP,GPU_0/GPU_0_COMP_0,0,2.281822666666703,COMP,INP,NA
65,562.9207733333332,562.9207733333332,bwd_00021_encoder_qkv_mul_reshape0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
66,562.9207733333332,565.2025959999999,bwd_00020_encoder_qkv_mul_trans0__INP,GPU_0/GPU_0_COMP_0,0,2.281822666666703,COMP,INP,NA
67,565.2025959999999,565.2025959999999,bwd_00020_encoder_qkv_mul_trans0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
68,565.2025959999999,1219.1690986666665,bwd_00019_encoder_qkv_mul0__INP,GPU_0/GPU_0_COMP_0,0,653.9665026666667,COMP,INP,NA
69,1219.1690986666665,1219.1690986666665,bwd_00019_encoder_qkv_mul0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
70,1219.1690986666665,1245.3854986666665,bwd_00018_encoder_qk_dropout0__INP,GPU_0/GPU_0_COMP_0,0,26.216399999999908,COMP,INP,NA
71,1245.3854986666665,1245.3854986666665,bwd_00015_encoder_v_trans0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
72,1245.3854986666665,1245.3854986666665,bwd_00018_encoder_qk_dropout0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
73,1245.3854986666665,1245.3854986666665,bwd_00017_encoder_qk_smax0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
74,1245.3854986666665,1245.3854986666665,bwd_00015_encoder_v_trans0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
75,1245.3854986666665,1245.3854986666665,bwd_00014_encoder_v_reshape0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
76,1245.3854986666665,1245.3854986666665,bwd_00017_encoder_qk_smax0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
77,1245.3854986666665,1263.2341213333332,bwd_00016_encoder_qk_mul0__INP,GPU_0/GPU_0_COMP_0,0,17.84862266666675,COMP,INP,NA
78,1263.2341213333332,1263.2341213333332,bwd_00014_encoder_v_reshape0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
79,1263.2341213333332,1265.8945833333332,bwd_00013_encoder_v_proj0__INP,GPU_0/GPU_0_COMP_0,0,2.6604620000000576,COMP,INP,NA
80,1265.8945833333332,1265.8945833333332,bwd_00016_encoder_qk_mul0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
81,1265.8945833333332,1265.8945833333332,bwd_00012_encoder_k_trans0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
82,1265.8945833333332,1265.8945833333332,bwd_00009_encoder_q_trans0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
83,1265.8945833333332,1268.5550453333333,bwd_00013_encoder_v_proj0__WT,GPU_0/GPU_0_COMP_0,0,2.6604620000000576,COMP,WT,NA
84,1268.5550453333333,1268.5550453333333,bwd_00012_encoder_k_trans0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
85,1268.5550453333333,1268.5550453333333,bwd_00011_encoder_k_reshape0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
86,1268.5550453333333,1268.5550453333333,bwd_00009_encoder_q_trans0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
87,1268.5550453333333,1268.5550453333333,bwd_00008_encoder_q_reshape0__INP,GPU_0/GPU_0_COMP_0,0,0.0,COMP,INP,NA
88,1268.5550453333333,1268.5550453333333,bwd_00011_encoder_k_reshape0__WT,GPU_0/GPU_0_COMP_0,0,0.0,COMP,WT,NA
89,1268.5550453333333,1271.2155073333333,bwd_00010_encoder_k_proj0__INP,GPU_0/GPU_0_COMP_0,0,2.6604620000000576,COMP,INP,NA
