Layer,Fwd_time(msec),bwd_time(msec),wt_grad_time(msec),comms_time_fwd,comms_time_inp_grad,comms_time_wtgrad,Total_comms_time(without overlap),Total comms_time_with_overlap(wtgrad),Total comms_time_with_overlap(INPGRAD),total_compute_time_without_comms,msg_size
1.0,0.03723878205128205,0.03723878205128205,0.03723878205128205,0.0,0.0,0.05039725354157053,0.05039725354157053,2.2805987014361855,0,0.11171634615384615,18944.0
6.0,0.019274888888888887,0.019274888888888887,0.019274888888888887,0.0,0.0,0.05057175171717346,0.05057175171717346,2.230201447894615,0,0.05782466666666666,33280.0
9.0,0.016702649691358026,0.016702649691358026,0.016702649691358026,0.0,0.0,0.05026793792929337,0.05026793792929337,2.2168684782287236,0,0.05010794907407408,8320.0
13.0,0.022846153846153846,0.022846153846153846,0.022846153846153846,0.0,0.0,0.051065643874906724,0.051065643874906724,2.185875429188319,0,0.06853846153846153,73856.0
17.0,0.019274888888888887,0.019274888888888887,0.019274888888888887,0.0,0.0,0.05057175171717346,0.05057175171717346,2.1515124350047703,0,0.05782466666666666,33280.0
22.0,0.012418041666666668,0.012418041666666668,0.012418041666666668,0.0,0.0,0.050567077658898375,0.050567077658898375,2.1237868371337507,0,0.037254125,32896.0
26.0,0.022846153846153846,0.022846153846153846,0.022846153846153846,0.0,0.0,0.051065643874906724,0.051065643874906724,2.092494648363741,0,0.06853846153846153,73856.0
30.0,0.019274888888888887,0.019274888888888887,0.019274888888888887,0.0,0.0,0.05057175171717346,0.05057175171717346,2.053847046155501,0,0.05782466666666666,33280.0
35.0,0.012418041666666668,0.012418041666666668,0.012418041666666668,0.0,0.0,0.050567077658898375,0.050567077658898375,2.0261214482844814,0,0.037254125,32896.0
39.0,0.022846153846153846,0.022846153846153846,0.022846153846153846,0.0,0.0,0.051065643874906724,0.051065643874906724,1.9948292595144719,0,0.06853846153846153,73856.0
43.0,0.019274888888888887,0.019274888888888887,0.019274888888888887,0.0,0.0,0.05057175171717346,0.05057175171717346,1.9561816573062318,0,0.05782466666666666,33280.0
48.0,0.034412770327313845,0.034412770327313845,0.034412770327313845,0.0,0.0,0.053369954604520334,0.053369954604520334,1.9284560594352123,0,0.10323831098194153,263168.0
51.0,0.02723260802469136,0.02723260802469136,0.02723260802469136,0.0,0.0,0.050967488651130086,0.050967488651130086,1.8943609937195809,0,0.08169782407407408,65792.0
55.0,0.02184615384615384,0.02184615384615384,0.02184615384615384,0.0,0.0,0.05375945946077686,0.05375945946077686,1.8778062753957647,0,0.06553846153846152,295168.0
59.0,0.015072649572649574,0.015072649572649574,0.015072649572649574,0.0,0.0,0.051774542713293605,0.051774542713293605,1.8512794239596793,0,0.04521794871794872,132096.0
64.0,0.012586501011606537,0.012586501011606537,0.012586501011606537,0.0,0.0,0.05176519459674345,0.05176519459674345,1.8213510350925395,0,0.03775950303481961,131328.0
68.0,0.02184615384615384,0.02184615384615384,0.02184615384615384,0.0,0.0,0.05375945946077686,0.05375945946077686,1.7846584900684457,0,0.06553846153846152,295168.0
72.0,0.015072649572649574,0.015072649572649574,0.015072649572649574,0.0,0.0,0.051774542713293605,0.051774542713293605,1.7434855316192754,0,0.04521794871794872,132096.0
77.0,0.012586501011606537,0.012586501011606537,0.012586501011606537,0.0,0.0,0.05176519459674345,0.05176519459674345,1.7135571427521357,0,0.03775950303481961,131328.0
81.0,0.02184615384615384,0.02184615384615384,0.02184615384615384,0.0,0.0,0.05375945946077686,0.05375945946077686,1.6768645977280419,0,0.06553846153846152,295168.0
85.0,0.015072649572649574,0.015072649572649574,0.015072649572649574,0.0,0.0,0.051774542713293605,0.051774542713293605,1.6356916392788716,0,0.04521794871794872,132096.0
90.0,0.012586501011606537,0.012586501011606537,0.012586501011606537,0.0,0.0,0.05176519459674345,0.05176519459674345,1.6057632504117318,0,0.03775950303481961,131328.0
94.0,0.02184615384615384,0.02184615384615384,0.02184615384615384,0.0,0.0,0.05375945946077686,0.05375945946077686,1.569070705387638,0,0.06553846153846152,295168.0
98.0,0.015072649572649574,0.015072649572649574,0.015072649572649574,0.0,0.0,0.051774542713293605,0.051774542713293605,1.5278977469384678,0,0.04521794871794872,132096.0
103.0,0.032655714990484336,0.032655714990484336,0.032655714990484336,0.0,0.0,0.06295489010728092,0.06295489010728092,1.497969358071328,0,0.09796714497145301,1050624.0
106.0,0.013925333333333333,0.013925333333333333,0.013925333333333333,0.0,0.0,0.05336372252682023,0.05336372252682023,1.4500871175366967,0,0.041776,262656.0
110.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.06453160576540734,0.06453160576540734,1.4293791100003608,0,0.07361538461538462,1180160.0
114.0,0.013322649572649573,0.013322649572649573,0.013322649572649573,0.0,0.0,0.056573242542374,0.056573242542374,1.3787728375682868,0,0.03996794871794872,526336.0
119.0,0.014681188417284843,0.014681188417284843,0.014681188417284843,0.0,0.0,0.05655454630927369,0.05655454630927369,1.3467380565643743,0,0.04404356525185453,524800.0
123.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.06453160576540734,0.06453160576540734,1.3035061598277502,0,0.07361538461538462,1180160.0
127.0,0.013322649572649573,0.013322649572649573,0.013322649572649573,0.0,0.0,0.056573242542374,0.056573242542374,1.2536557424796277,0,0.03996794871794872,526336.0
132.0,0.014681188417284843,0.014681188417284843,0.014681188417284843,0.0,0.0,0.05655454630927369,0.05655454630927369,1.2216209614757152,0,0.04404356525185453,524800.0
136.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.06453160576540734,0.06453160576540734,1.178389064739091,0,0.07361538461538462,1180160.0
140.0,0.013322649572649573,0.013322649572649573,0.013322649572649573,0.0,0.0,0.056573242542374,0.056573242542374,1.1285386473909687,0,0.03996794871794872,526336.0
145.0,0.014681188417284843,0.014681188417284843,0.014681188417284843,0.0,0.0,0.05655454630927369,0.05655454630927369,1.096503866387056,0,0.04404356525185453,524800.0
149.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.06453160576540734,0.06453160576540734,1.053271969650432,0,0.07361538461538462,1180160.0
153.0,0.013322649572649573,0.013322649572649573,0.013322649572649573,0.0,0.0,0.056573242542374,0.056573242542374,1.0034215523023096,0,0.03996794871794872,526336.0
158.0,0.014681188417284843,0.014681188417284843,0.014681188417284843,0.0,0.0,0.05655454630927369,0.05655454630927369,0.971386771298397,0,0.04404356525185453,524800.0
162.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.06453160576540734,0.06453160576540734,0.9281548745617729,0,0.07361538461538462,1180160.0
166.0,0.013322649572649573,0.013322649572649573,0.013322649572649573,0.0,0.0,0.056573242542374,0.056573242542374,0.8783044572136505,0,0.03996794871794872,526336.0
171.0,0.014681188417284843,0.014681188417284843,0.014681188417284843,0.0,0.0,0.05655454630927369,0.05655454630927369,0.846269676209738,0,0.04404356525185453,524800.0
175.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.06453160576540734,0.06453160576540734,0.8030377794731139,0,0.07361538461538462,1180160.0
179.0,0.013322649572649573,0.013322649572649573,0.013322649572649573,0.0,0.0,0.056573242542374,0.056573242542374,0.7531873621249915,0,0.03996794871794872,526336.0
184.0,0.039184,0.039184,0.039184,0.0,0.0,0.10125231911946335,0.10125231911946335,0.721152581121079,0,0.11755199999999999,4198400.0
187.0,0.024848,0.024848,0.024848,0.0,0.0,0.06294242595188071,0.06294242595188071,0.6332229115742652,0,0.074544,1049600.0
191.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.10538437266259967,0.10538437266259967,0.6094644856223845,0,0.07361538461538462,4719616.0
195.0,0.01138818838515572,0.01138818838515572,0.01138818838515572,0.0,0.0,0.07574311354789517,0.07574311354789517,0.5289281129597848,0,0.03416456515546716,2101248.0
200.0,0.026362376834569688,0.026362376834569688,0.026362376834569688,0.0,0.0,0.07570572108169454,0.07570572108169454,0.4777234609503512,0,0.07908713050370907,2098176.0
204.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.10538437266259967,0.10538437266259967,0.41340592825381234,0,0.07361538461538462,4719616.0
208.0,0.01138818838515572,0.01138818838515572,0.01138818838515572,0.0,0.0,0.07574311354789517,0.07574311354789517,0.33438393242578235,0,0.03416456515546716,2101248.0
213.0,0.026362376834569688,0.026362376834569688,0.026362376834569688,0.0,0.0,0.07570572108169454,0.07570572108169454,0.2831792804163487,0,0.07908713050370907,2098176.0
217.0,0.02453846153846154,0.02453846153846154,0.02453846153846154,0.0,0.0,0.10538437266259967,0.10538437266259967,0.21886174771980987,0,0.07361538461538462,4719616.0
221.0,0.01138818838515572,0.01138818838515572,0.01138818838515572,0.0,0.0,0.07574311354789517,0.07574311354789517,0.13983975189177988,0,0.03416456515546716,2101248.0
227.0,0.014851851851851854,0.014851851851851854,0.014851851851851854,0.0,0.0,0.10002328826750195,0.10002328826750195,0.08863509988234623,0,0.044555555555555564,4096000.0
------------------------------------------------------------------------------------------
Comms_time,total_compute_time_with_comms(full_overlpa),total_compute_time_without_comms,Scaling_Efficiency (full overlap),Total_compute+comms_without_overlap,Scaling_efficiency,Total_comms_with_relastic_overlap only w_grad_,Scaling_efficiency
2.2805987014361855,6.742467481040997,4.461868779604812,0.6617560695918886,7.785653468789926,0.5730885400295489,6.742467481040997,0.6617560695918886
------------------------------------------------------------------------------------------
Throughput_full_overlap:,4746.036979782272
Throughput_no_overlap:,4110.123848727312
